label,brand,name,price,rank,ingredients,combination,dry,normal,oily,sensitive
moisturizer,la mer,crème de la mer,6387.5,4.1,algae (seaweed) extract | mineral oil | petrolatum | glycerin | isohexadecane | microcrystalline wax | lanolin alcohol | citrus aurantifolia (lime) extract | sesamum indicum (sesame) seed oil | eucalyptus globulus (eucalyptus) leaf oil | sesamum indicum (sesame) seed powder | medicago sativa (alfalfa) seed powder | helianthus annuus (sunflower) seedcake | prunus amygdalus dulcis (sweet almond) seed meal | sodium gluconate | copper gluconate | calcium gluconate | magnesium gluconate | zinc gluconate | magnesium sulfate | paraffin | tocopheryl succinate | niacin | water | beta-carotene | decyl oleate | aluminum distearate | octyldodecanol | citric acid | cyanocobalamin | magnesium stearate | panthenol | limonene | geraniol | linalool | hydroxycitronellal | citronellol | benzyl salicylate | citral | sodium benzoate | alcohol denat | fragrance,1,1,1,1,1
moisturizer,skii,facial treatment essence,6533.5,4.1,galactomyces ferment filtrate (pitera) | butylene glycol | pentylene glycol | water | sodium benzoate | methylparaben | sorbic acid,1,1,1,1,1
moisturizer,drunk elephant,protini polypeptide cream,2482.0,4.4,water | dicaprylyl carbonate | glycerin | cetearyl alcohol | cetearyl olivate | sorbitan olivate | sclerocarya birrea seed oil | bacillus/soybean/ folic acid ferment extract | nymphaea alba root extract | sh-oligopeptide-1 | sh-oligopeptide-2 | sh-polypeptide-1 | sh-polypeptide-9 | sh-polypeptide-11 | copper palmitoyl heptapeptide-14 | heptapeptide-15 palmitate | palmitoyl tetrapeptide-7 | palmitoyl tripeptide-1 | alanine | arginine | glycine | histidine | isoleucine | phenylalanine | proline | serine | threonine | valine | acetyl glutamine | coconut alkanes | coco-caprylate/caprate | sodium hyaluronate | aspartic acid | linoleic acid | linolenic acid | lecithin | butylene glycol | polyvinyl alcohol | sodium lactate | sodium pca | pca | sorbitan isostearate | carbomer | polysorbate 20 | polysorbate 60 | lactic acid/glycolic acid copolymer | hydroxyethyl acrylate/sodium acryloyldimethyl taurate copolymer | xanthan gum | isomalt | 1 | 2-hexanediol | caprylyl glycol | chlorphenesin | phenoxyethanol | tocopherol | sodium benzoate | phenylpropanol | glyceryl caprylate | symphytum officinale callus culture extract,1,1,1,1,0
moisturizer,la mer,the moisturizing soft cream,6387.5,3.8,algae (seaweed) extract | cyclopentasiloxane | petrolatum | glyceryl distearate | phenyl trimethicone | butylene glycol | hydrogenated vegetable oil | cholesterol | butyrospermum parkii (shea butter) | steareth-10 | dimethicone | glyceryl stearate se | polysilicone-11 | sesamum indicum (sesame) seed oil | medicago sativa (alfalfa) seed powder | helianthus annuus (sunflower) seedcake | prunus amygdalus dulcis (sweet almond) seed meal | eucalyptus globulus (eucalyptus) leaf oil | sodium gluconate | copper gluconate | calcium gluconate | magnesium gluconate | zinc gluconate | tocopheryl succinate | niacin | sesamum indicum (sesame) seed powder | water | citrus aurantifolia (lime) peel extract | laminaria digitata extract | crithmum maritimum extract | salicornia herbacea extract | plankton extract | chlorella vulgaris extract | glycine soja (soybean) seed extract | glycerin | caffeine | sea salt/maris sal/sel marin | micrococcus lysate | diethylhexyl succinate | adenosine phosphate | creatine | hydrolyzed algin | isocetyl stearoyl stearate | cetyl alcohol | sucrose | acetyl hexapeptide-8 | glucose oxidase | polyacrylamide | acetyl carnitine hcl | glucose | caprylic/capric triglyceride | c13-14 isoparaffin | tocopheryl acetate | tetrahexyldecyl ascorbate | sodium pca | glycosaminoglycans | urea | distearyldimonium chloride | dipalmitoyl hydroxyproline | sodium hyaluronate | laureth-7 | lecithin | trehalose | polyquaternium-51 | lactoperoxidase | hydroxypropyl cyclodextrin | cyanocobalamin | pentylene glycol | fragrance | disodium edta | bht | citronellol | hydroxycitronellal | geraniol | linalool | limonene | potassium sorbate | phenoxyethanol,1,1,1,1,1
moisturizer,it cosmetics,your skin but better cc+ cream with spf 50+,1387.0,4.1,water | snail secretion filtrate | phenyl trimethicone | dimethicone | butylene glycol | butylene glycol dicaprylate/dicaprate | orbignya oleifera seed oil | butyloctyl salicylate | cetyl peg/ppg-10/1 dimethicone | cyclopentasiloxane | cyclohexasiloxane | magnesium sulfate | polyglyceryl-4 isostearate | dimethicone/vinyl dimethicone crosspolymer | aluminum hydroxide | hexyl laurate | stearic acid | calcium stearate | caprylyl glycol | triethoxycaprylylsilane | ethylhexylglycerin | citrus medica limonum (lemon) peel oil | tocopheryl acetate | sorbitan isostearate | phenoxyethanol | citrus aurantium bergamia (bergamot) fruit oil | 1 | 2-hexanediol | disodium edta | citrus aurantium dulcis (orange) peel oil | citrus aurantifolia (lime) oil | vitis vinifera (grape) seed oil | punica granatum seed oil | pinus sylvestris leaf oil | persea gratissima (avocado) oil | niacinamide | citrus grandis (grapefruit) peel oil | cholesterol | anthemis nobilis flower water | lactobacillus/honeysuckle flower/licorice root/morus alba root/pueraria lobata root/schizandra chinensis fruit/scutellaria baicalensis root/sophora japonica flower extract ferment filtrate | perfluorohexane | olea europaea (olive) leaf extract | glycerin | eucalyptus globulus leaf oil | camellia sinensis leaf extract | chrysanthemum indicum flower extract | pueraria lobata root extract | perfluorodecalin | morus alba fruit extract | magnolia kobus bark extract | glycine soja (soybean) sprout extract | diospyros kaki leaf extract | cinnamomum cassia bark extract | artemisia princeps leaf extract | pentafluoropropane | curcuma longa (turmeric) root extract | steareth-20 | hydrolyzed hyaluronic acid | colloidal oatmeal | hydrolyzed silk | citric acid | sodium benzoate | potassium sorbate | aloe barbadensis leaf extract | n-hydroxysuccinimide | hydrolyzed collagen | caprylhydroxamic acid | tocopherol | thiamine hcl | riboflavin | retinyl palmitate | pantothenic acid | palmitoyl oligopeptide | niacin | folic acid | chrysin | carnitine hcl | biotin | ascorbic acid | palmitoyl tetrapeptide-7 | chlorhexidine digluconate. may contain: iron oxides (ci 77492 | ci 77491 | ci 77499),1,1,1,1,1
moisturizer,tatcha,the water cream,2482.0,4.2,water | saccharomyces/camellia sinensis leaf/cladosiphon okamuranus/rice ferment filtrate | dimethicone | propanediol | glycerin | diglycerin | diphenylsiloxy phenyl trimethicone | gold | belamcanda chinensis root extract | rosa multiflora fruit extract | houttuynia cordata extract | sophora angustifolia root extract | sodium hyaluronate | lecithin | pistacia lentiscus (mastic) gum | sodium chloride | sodium citrate | mica | peg-9 polydimethylsiloxyethyl dimethicone | dimethicone/peg-10/15 crosspolymer | dimethicone/phenyl vinyl dimethicone crosspolymer | disodium edta | tin oxide | titanium dioxide | butylene glycol | ethylhexylglycerin | parfum/fragrance | alcohol | phenoxyethanol. hadasei-3,1,0,1,1,1
moisturizer,drunk elephant,lala retro whipped cream,2190.0,4.2,water | glycerin | caprylic/ capric triglyceride | isopropyl isostearate | pseudozyma epicola/camellia sinensis seed oil/glucose/glycine soja meal/malt extract/yeast extract ferment filtrate (pseudozyma epicola/camellia sinensis seed oil/glucose/yeast extract ferment filtrate) | stearic acid | glyceryl stearate se | cetearyl alcohol | pentylene glycol | plantago lanceolata leaf extract | adansonia digitata seed oil | citrullus lanatus (watermelon) seed oil | passiflora edulis seed oil | schinziophyton rautanenii kernel oil | sclerocarya birrea seed oil | polyglyceryl-6 ximenia americana seedate | sodium hyaluronate crosspolymer | ceteareth-20 | trisodium ethylenediamine disuccinate | sodium hydroxide | citric acid | carbomer | xanthan gum | caprylyl glycol | chlorphenesin | phenoxyethanol | ethylhexylglycerin,1,1,1,1,0
moisturizer,kiehls since 1851,ultra facial cream,1058.5,4.4,water | glycerin | cyclohexasiloxane | squalane | bis-peg-18 methyl ether dimethyl silane | sucrose stearate | stearyl alcohol | peg-8 stearate | urea | myristyl myristate | pentaerythrityl tetraethylhexanoate | prunus armeniaca kernel oil | phenoxyethanol | persea gratissima oil | olea europaea oil | oryza sativa bran oil | cetyl alcohol | glyceryl stearate | imperata cylindrica root extract | stearic acid | methylparaben | chlorphenesin | palmitic acid | disodium edta | acrylates/c10-30 alkyl acrylate crosspolymer | propylparaben | carbomer | triethanolamine | prunus amygdalus dulcis oil | xanthan gum | sodium hydroxide | tocopherol | pseudoalteromonas ferment extract | hydroxypalmitoyl sphinganine | caprylyl glycol,1,1,1,1,1
moisturizer,kiehls since 1851,midnight recovery concentrate,1715.5,4.4,caprylic/capric triglyceride dicaprylyl carbonate squalane rosa canina fruit oil oenothera biennis oil / evening primrose oil simmondsia chinensis oil / jojoba seed oil coriandrum sativum oil / coriander seed oil tocopherol lavandula angustifolia oil / lavender oil pelargonium graveolens flower oil linalool rosmarinus officinalis leaf oil / rosemary leaf oil citronellol geraniol lavandula hybrida oil cucumis sativus extract / cucumber fruit extract curcuma longa extract / turmeric root extract limonene citral sclareolide rosa spp / rose flower oil jasminum officinale extract / jasmine extract helianthus annuus seed oil / sunflower seed oil,1,1,1,1,1
moisturizer,belif,the true cream aqua bomb,1387.0,4.5,water | dipropylene glycol | glycerin | methl trimethicone | alcohol denat | dimethicone | cyclopentasiloxane | 1 | 2-hexanediol | malakite extract | caprylic/capric triglyceride | pentaerythrityl tetraethylhexanoate | peg/ppg/polybutylene glycol-8/5/3 glycerin | alchemilla vulgaris leaf extract | equisetum arvense leaf extract | stellaria media (chickweed) extract | urtica dioica (nettle) leaf extract | plantago lanceolata leaf extract | avena sativa (oat) kernel extract | calendula officinalis flower extract | nepeta cataria extract | rubus idaeus (raspberry) leaf extract | baptisia tinctoria root extract | dimethiconol | polymethylsilsesquioxane | sodium acrylate/acryloyldimethyltaurate/dimethylacrylamide crosspolymer | isohexadecane | polysorbate 60 | ceramide 3 | cholesterol | butyrospermum parkii (shea) butter | phenl trimethicone | pentaerythrityl tetraisostearate | panthenol | squalane | triethylhexanoin | macadamia ternifolia seed oil | peg-150 | peg-40 hydrogenated castor oil | acrylates/c10-30 alkyl acrylate crosspolymer | c14-22 alcohols | arachidyl glucoside | hydrogenated lecithin | peg-100 stearate | stearic acid | glyceryl stearate | carbomer | tromethamine | trisodium edta | fragrance+ | citronellol | limonene | citral | geraniol | linalool. napiers aqua formula. napiers original formula. +fragrances of natural origin,1,0,1,1,0
